n,Group,doc_id,cross_entropy,Split
1,Agent,1428,9.705618881772201,2
1,Agent,2418,10.398037382178753,2
1,Agent,1727,10.161933296900733,2
1,Agent,866,8.385596849194418,2
1,Agent,1816,9.334215805421474,2
1,Agent,417,9.9306777166499,2
1,Agent,23,9.647513106373212,2
1,Agent,3210,8.363332166469737,2
1,Agent,2233,9.255093455347568,2
1,Agent,2818,9.616921766272963,2
1,Agent,3037,7.916585010680933,2
1,Agent,263,9.01721933749065,2
1,Agent,1615,7.613071913799716,2
1,Agent,2991,11.016610378043966,2
1,Agent,301,8.980857117702621,2
1,Agent,1517,10.233643915974548,2
1,Agent,2124,8.781341372157145,2
1,Agent,345,9.832369734940524,2
1,Agent,132,3.6845687579478543,2
1,Agent,2391,8.315186610921415,2
1,Agent,1575,6.713546344073626,2
1,Agent,2271,7.3610147539544,2
1,Agent,1040,10.475915462184975,2
1,Agent,547,10.63818403301141,2
1,Agent,2665,10.411471210505765,2
1,Agent,2568,12.26903924018226,2
1,Agent,217,10.427997777469296,2
1,Agent,40,8.055706559114018,2
1,Agent,3251,9.199735389812185,2
1,Agent,735,11.836523432014166,2
1,Agent,1384,10.443066577881737,2
1,Agent,1118,9.902553755512876,2
1,Agent,1669,10.29268512667348,2
1,Agent,1922,11.900032792457694,2
1,Agent,2557,9.415694237621322,2
1,Agent,591,11.996429864065616,2
1,Agent,1069,9.112443127620825,2
1,Agent,1100,10.556849675607443,2
1,Agent,285,10.28268889885605,2
1,Agent,2110,12.183252510332418,2
1,Agent,311,10.021365870732438,2
1,Agent,593,8.692352345939518,2
1,Agent,3105,8.534450693451983,2
1,Agent,622,7.71412758656548,2
1,Agent,1149,10.8103071004958,2
1,Agent,1185,10.041556875893749,2
1,Agent,2197,10.038298013495194,2
1,Agent,2252,11.227684470797428,2
1,Agent,3199,8.482427248820178,2
1,Agent,3020,10.24435491478677,2
1,Agent,1471,10.337007268350197,2
1,Agent,752,11.047646846174459,2
1,Agent,2502,8.960472481254184,2
1,Agent,2348,8.912535342487919,2
1,Agent,496,11.009890237872746,2
1,Agent,2457,10.511005224163789,2
1,Agent,1711,4.296010237554547,2
1,Agent,1385,10.028645180197477,2
1,Agent,1339,8.997778007718063,2
1,Agent,2077,8.614190326805192,2
1,Agent,852,9.51020389048767,2
1,Agent,3096,11.136976608766645,2
1,Agent,239,8.13805868986781,2
1,Agent,1686,9.031059904707837,2
1,Agent,2617,10.117638771156843,2
1,Agent,706,8.367769364295158,2
1,Agent,2294,9.678376662879819,2
1,Agent,625,8.070180285666197,2
1,Agent,173,9.646955371763514,2
1,Agent,80,9.899230789517052,2
1,Agent,2208,9.080432239316313,2
1,Agent,3196,10.611890372648903,2
1,Agent,1633,8.453705752964368,2
1,Agent,1421,10.032223288398267,2
1,Agent,1243,9.884687139911446,2
1,Agent,1353,4.4909003622621215,2
1,Agent,317,9.57749539613695,2
1,Agent,2635,9.805085075539434,2
1,Agent,3153,7.356174884389674,2
1,Agent,503,10.64244321622616,2
1,Agent,966,8.649464840185502,2
1,Agent,352,9.316639382865741,2
1,Agent,3108,10.213055931018085,2
1,Agent,2905,10.562247590870653,2
1,Agent,592,8.374365925598845,2
1,Agent,2177,10.106196514630891,2
1,Agent,2796,10.708199749402063,2
1,Agent,1467,9.861714134566222,2
1,Agent,1143,9.464152876352632,2
1,Agent,1223,9.52760191062137,2
1,Agent,2471,8.493628035992975,2
1,Agent,2276,6.270166947257231,2
1,Agent,2582,10.07316629241719,2
1,Agent,1484,8.71055057810042,2
1,Agent,1042,10.039560168721948,2
1,Agent,2359,13.51175265376738,2
1,Agent,2214,9.13252663745194,2
1,Agent,1004,9.950905714149288,2
1,Agent,1163,10.121713397542466,2
1,Agent,3209,6.7259210677661745,2
1,Agent,48,8.41088661540716,2
1,Agent,2533,8.767082892567922,2
1,Agent,1531,9.758374541729365,2
1,Agent,766,10.4439365343654,2
1,Agent,2375,7.68010644633167,2
1,Agent,2022,9.398588314112823,2
1,Agent,361,9.06811369439584,2
1,Agent,3222,7.737018426311976,2
1,Agent,936,8.550729242628545,2
1,Agent,712,9.255038593603407,2
1,Agent,1979,10.571199626331328,2
1,Agent,1632,10.437229296421725,2
1,Agent,2768,10.445773475870507,2
1,Agent,1320,4.38884539061357,2
1,Agent,2876,10.435672154756334,2
1,Agent,3159,10.222718602418963,2
1,Agent,1388,10.05682966372254,2
1,Agent,1354,11.546777906740914,2
1,Agent,2131,8.470801630757254,2
1,Agent,401,9.045763935894742,2
1,Agent,2129,10.597858420309722,2
1,Agent,1312,7.824029254190073,2
1,Agent,1261,9.748623061654483,2
1,Agent,1985,8.395451360225355,2
1,Agent,1851,9.868371641668256,2
1,Agent,481,9.83117295057348,2
1,Agent,970,9.404338445099711,2
1,Agent,2444,10.791178071485374,2
1,Agent,696,8.61281040425556,2
1,Agent,3220,9.889414189058154,2
1,Agent,3103,4.675036274178374,2
1,Agent,2962,9.974505049996681,2
1,Agent,726,8.840934982074685,2
1,Agent,88,10.796854632306369,2
1,Agent,222,8.798016831559286,2
1,Agent,2228,9.6357585440463,2
1,Agent,534,9.932099655204876,2
1,Agent,3162,10.090279111114132,2
1,Agent,156,9.394929838022342,2
1,Agent,1981,10.677845749726611,2
1,Agent,2258,10.97913884237957,2
1,Agent,2576,10.976472653203455,2
1,Agent,1002,8.23653483914929,2
1,Agent,1487,8.962659092310368,2
1,Agent,2931,13.296030686828107,2
1,Agent,198,8.566513992660282,2
1,Agent,842,11.956236997573008,2
1,Agent,1964,7.632443177014625,2
1,Agent,2089,8.620835357229282,2
1,Agent,2392,8.797567046681879,2
1,Agent,2666,10.019432863595064,2
1,Agent,749,5.37608742306567,2
1,Agent,1034,10.96065495378778,2
1,Agent,324,8.483696490527059,2
1,Agent,2697,9.533118773717856,2
1,Agent,2081,9.204832515065243,2
1,Agent,2817,10.773251837946942,2
1,Agent,2268,7.344211971865417,2
1,Agent,1901,10.24435491478677,2
1,Agent,2575,8.947151638888474,2
1,Agent,2080,9.738729056091344,2
1,Agent,3118,8.971591663839943,2
1,Agent,94,10.908169153972164,2
1,Agent,1938,11.297994090219499,2
1,Agent,1090,8.789680014199822,2
1,Agent,1966,8.951390043793138,2
1,Agent,1449,11.143872904987054,2
1,Agent,2273,6.270166947257231,2
1,Agent,1176,8.395072399710399,2
1,Agent,1868,9.557128696114162,2
1,Agent,3244,8.64015384380627,2
1,Agent,2831,10.049197263473891,2
1,Agent,1175,9.162089727318316,2
1,Agent,260,8.02135897305646,2
1,Agent,1280,6.544304061997031,2
1,Agent,3203,5.630739847916901,2
1,Agent,1607,9.160095192940945,2
1,Agent,468,11.143081574560007,2
1,Agent,2974,7.489204677244274,2
1,Agent,2538,10.492793767593438,2
1,Agent,1361,10.120619125019543,3
1,Agent,864,9.82222840420867,3
1,Agent,2589,7.401606454348887,3
1,Agent,299,10.3481063443042,3
1,Agent,518,9.203895174437072,3
1,Agent,3173,12.577632605736948,3
1,Agent,2725,9.951806958754682,3
1,Agent,2220,8.68019490559769,3
1,Agent,1180,8.573795229778735,3
1,Agent,2909,8.721718984051613,3
1,Agent,2752,13.000912227059736,3
1,Agent,3191,10.755360751104922,3
1,Agent,33,11.626764244105612,3
1,Agent,1309,8.533798962674327,3
1,Agent,1838,8.489359310012674,3
1,Agent,2335,9.144972248741439,3
1,Agent,3193,10.062006551972638,3
1,Agent,1837,8.059534141414682,3
1,Agent,2786,8.331783442056437,3
1,Agent,2230,5.947064597351793,3
1,Agent,921,9.421196145178039,3
1,Agent,3251,9.212092601473037,3
1,Agent,123,3.6522428211902924,3
1,Agent,1147,9.801077842855236,3
1,Agent,589,12.19665171861358,3
1,Agent,510,10.099391590696953,3
1,Agent,3012,10.293208106326112,3
1,Agent,2866,10.64123213967129,3
1,Agent,910,9.14613236972836,3
1,Agent,2183,10.354563718444693,3
1,Agent,1187,9.200837470197802,3
1,Agent,2470,9.67829710432695,3
1,Agent,1123,9.592544789138797,3
1,Agent,374,9.1051319706062,3
1,Agent,1343,8.85377171491873,3
1,Agent,2072,9.952210107324008,3
1,Agent,1785,8.537134691066495,3
1,Agent,2988,10.229975779779357,3
1,Agent,2172,10.00219479776634,3
1,Agent,876,8.555470823225221,3
1,Agent,106,8.861776317068147,3
1,Agent,3234,7.69546609767091,3
1,Agent,2981,11.443792513308852,3
1,Agent,1726,9.564529706004699,3
