n,Group,cross_entropy
1,Agent,9.126372849014851
1,Agent,9.262037486784982
1,Agent,11.087477758252023
1,Agent,10.500275116670634
1,Agent,10.566950795046287
1,Agent,9.098625582031026
1,Agent,8.750907724814786
1,Agent,7.6464265115874115
1,Agent,11.011711358999879
1,Agent,8.216753808295561
1,Agent,10.402948419704268
1,Agent,10.493534375271933
1,Agent,9.996155388791797
1,Agent,10.216353057960221
1,Agent,7.130731694940676
1,Agent,7.764145646647911
1,Agent,9.429003988990216
1,Agent,10.47991408095501
1,Agent,6.483419914404076
1,Agent,9.365698737434439
1,Agent,9.639953888232997
1,Agent,11.477824207315853
1,Agent,11.783583129015142
1,Agent,8.287556312291173
1,Agent,9.29734348842651
1,Agent,10.42346236691165
1,Agent,9.41418035653257
1,Agent,10.929888768300303
1,Agent,9.366626229744963
1,Agent,7.1636210357550745
1,Agent,7.857902383602
1,Agent,12.37931021438898
1,Agent,9.911796381803436
1,Agent,11.870670908879887
1,Agent,8.23089104511644
1,Agent,9.199344067017964
1,Agent,10.311553677883733
1,Agent,5.0260096540198385
1,Agent,8.448256180390432
1,Agent,13.185696104004737
1,Agent,13.77454545043166
1,Agent,8.528553312961709
1,Agent,11.102980377960955
1,Agent,9.415335692589043
1,Agent,5.633797398529467
1,Agent,9.571249357491324
1,Agent,11.186586688634755
1,Agent,9.668690239734719
1,Agent,9.117543128835951
1,Agent,10.352430090991081
1,Agent,10.05203207045013
1,Agent,9.621434596712646
1,Agent,8.556726722195446
1,Agent,10.913643274838066
1,Agent,8.315947855907996
1,Agent,9.551974094303825
1,Agent,10.293329837409747
1,Agent,10.25113344682384
1,Agent,9.607368469083541
1,Agent,7.285606787889974
1,Agent,8.976519089847525
1,Agent,9.032752983113184
1,Agent,8.970380115978694
1,Agent,9.284034010903296
1,Agent,3.6548406217449827
1,Agent,8.055548462863472
1,Agent,11.84655197920373
1,Agent,8.84657073582169
1,Agent,9.464275583687408
1,Agent,8.414231275648799
1,Agent,13.685696104004737
1,Agent,7.581192444252765
1,Agent,10.009713348676605
1,Agent,12.430519528505034
1,Agent,8.08352162590993
1,Agent,10.528612753549842
1,Agent,7.439058776852352
1,Agent,8.235894927325358
1,Agent,8.141896424342114
1,Agent,11.26996034835599
1,Agent,11.780260212610226
